Applid,Date,ResTime,ColTime,NOSPACETms,PutqIntraReqs,GetqIntraReqs,IntraBuffers,PeakIntraBuffData,BufferWait,StringNum,StringWait
BP18PAAH,01/11/2016,08:00:00,10:00:00,0,6372,0,500,2,0,255,0
BP18PAAH,01/11/2016,10:00:00,12:00:00,0,12374,0,500,2,0,255,0
BP18PAAH,01/11/2016,12:00:00,14:00:00,0,10820,0,500,2,0,255,0
BP18PAAH,01/11/2016,14:00:00,16:00:00,0,11328,0,500,2,0,255,0
BP18PAAH,01/11/2016,16:00:00,18:00:00,0,9918,0,500,2,0,255,0
BP18PAAH,01/11/2016,18:00:00,20:00:00,0,7303,0,500,2,0,255,0
BP18PAAH,01/11/2016,20:00:00,22:00:00,0,6053,0,500,2,0,255,0
BP18PAA4,01/11/2016,06:00:00,08:00:00,0,773,0,500,2,0,255,0
BP18PAA4,01/11/2016,08:00:00,10:00:00,0,6534,0,500,2,0,255,0
BP18PAA4,01/11/2016,10:00:00,12:00:00,0,12442,0,500,2,0,255,0
BP18PAA4,01/11/2016,12:00:00,14:00:00,0,10859,0,500,2,0,255,0
BP18PAA4,01/11/2016,14:00:00,16:00:00,0,11280,0,500,2,0,255,0
BP18PAA4,01/11/2016,16:00:00,18:00:00,0,10240,0,500,2,0,255,0
BP18PAA4,01/11/2016,18:00:00,20:00:00,0,7269,0,500,2,0,255,0
BP18PAA4,01/11/2016,20:00:00,22:00:00,0,6134,0,500,2,0,255,0
BP18PAA8,01/11/2016,06:00:00,08:00:00,0,714,0,500,2,0,255,0
BP18PAA8,01/11/2016,08:00:00,10:00:00,0,6612,0,500,2,0,255,0
BP18PAA8,01/11/2016,10:00:00,12:00:00,0,12515,0,500,2,0,255,0
BP18PAA8,01/11/2016,12:00:00,14:00:00,0,10909,0,500,2,0,255,0
BP18PAA8,01/11/2016,14:00:00,16:00:00,0,11316,0,500,2,0,255,0
BP18PAA8,01/11/2016,16:00:00,18:00:00,0,10282,0,500,2,0,255,0
BP18PAA8,01/11/2016,18:00:00,20:00:00,0,7132,0,500,2,0,255,0
BP18PAA8,01/11/2016,20:00:00,22:00:00,0,6105,0,500,2,0,255,0
