Applid,Date,ResTime,ColTime,ASCPU,ASSRB,ICV,ICVR,QRCPU,QRDsp,QRCPUUtilRatio%,QRDispUtilRatio%,QRDispRatio%,L8CPU,L8Dsp,L8CPUUtilRatio%,L8DispUtilRatio%,L8DispRatio%,ASTCBUtilRatio%,ASSRBCPUUtilRatio%,CPUPerUsrTran,PkOpTCB,MAXOpTCB,OpTCBRatio%
BP15PAA5,01/11/2016,14:00:00,16:00:00,00:22:29.692555,00:00:04.315960,10000,500,00:02:21.417334,00:02:49.295864,1.96,2.35,83.53,00:19:40.686668,00:59:42.583047,16.40,49.76,32.96,18.75,0.06,0.006056,15,232,6.47
BP15PAA5,01/11/2016,16:00:00,18:00:00,00:24:23.476119,00:00:04.002356,10000,500,00:02:17.329389,00:02:43.848551,1.91,2.28,83.81,00:21:40.878918,00:58:19.371913,18.07,48.60,37.17,20.33,0.06,0.007423,12,232,5.17
BP15PAA5,01/11/2016,18:00:00,20:00:00,00:21:10.275001,00:00:02.868739,10000,500,00:01:23.329962,00:01:46.030331,1.16,1.47,78.59,00:19:30.949764,00:46:00.569663,16.26,38.34,42.42,17.64,0.04,0.010502,10,232,4.31
BP15PAA5,01/11/2016,20:00:00,22:00:00,00:19:10.645038,00:00:02.224038,10000,500,00:01:01.204756,00:01:17.425866,0.85,1.08,79.05,00:17:56.039578,00:49:10.062087,14.94,40.97,36.48,15.98,0.03,0.012275,11,232,4.74
BP16PAAB,01/11/2016,06:00:00,08:00:00,00:01:19.555088,00:00:00.366666,10000,500,00:00:09.425232,00:00:11.285373,0.13,0.16,83.52,00:01:08.236554,00:03:28.675089,0.95,2.90,32.70,1.10,0.01,0.005791,6,232,2.59
BP16PAAB,01/11/2016,08:00:00,10:00:00,00:12:45.651200,00:00:02.652053,10000,500,00:01:23.648682,00:01:41.054158,1.16,1.40,82.78,00:11:05.555453,00:33:51.452798,9.24,28.21,32.76,10.63,0.04,0.005627,10,232,4.31
BP16PAAB,01/11/2016,10:00:00,12:00:00,00:23:54.965409,00:00:04.651885,10000,500,00:02:20.565105,00:02:49.445787,1.95,2.35,82.96,00:21:04.424179,01:05:58.751148,17.56,54.98,31.94,19.93,0.06,0.006289,12,232,5.17
BP16PAAB,01/11/2016,12:00:00,14:00:00,00:20:38.499733,00:00:03.836261,10000,500,00:01:50.114764,00:02:13.569658,1.53,1.86,82.44,00:18:26.253426,00:50:00.007607,15.36,41.67,36.88,17.20,0.05,0.006787,10,232,4.31
BP16PAAB,01/11/2016,14:00:00,16:00:00,00:22:12.352646,00:00:04.255755,10000,500,00:02:20.630136,00:02:48.214915,1.95,2.34,83.60,00:19:24.520674,00:59:31.434551,16.17,49.60,32.61,18.50,0.06,0.006013,18,232,7.76
BP16PAAB,01/11/2016,16:00:00,18:00:00,00:23:59.741069,00:00:04.029608,10000,500,00:02:13.930240,00:02:43.532857,1.86,2.27,81.90,00:21:20.645406,00:52:34.609403,17.79,43.81,40.60,20.00,0.06,0.007315,10,232,4.31
