Applid,Date,ResTime,ColTime,DB2EntryName,AccountRec,ThreadWait,ThreadPrty,CallCount,TwoPCommitCount,AbortCount,OnePCommitCount,ThreadCreate,ThreadReuse,ThreadTerms,ThreadLimit,ThreadHWM,PthreadLimit,PthreadHWM,Readyq,Reuselm,CommitRatio%,ThreadRatio%,PthreadRatio%
BP17PAA7,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,8653331,18692,4641,185419,2150,208649,2152,100,9,30,9,0,2047,97.78,9.0,30.0
BP17PAA7,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,8311816,12914,3083,113169,1342,129080,1343,100,7,30,7,0,1255,97.61,7.0,23.33
BP17PAA7,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,6522733,10784,2191,88050,1060,100943,1060,100,8,30,8,0,979,97.83,8.0,26.67
BP18PAAD,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,359499,1270,371,13486,188,15077,186,100,4,30,4,0,137,97.55,4.0,13.33
BP18PAAD,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3735140,12228,3473,128503,1493,144113,1490,100,8,30,8,0,1402,97.59,8.0,26.67
BP18PAAD,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7172425,23098,5003,215727,2516,243697,2518,100,11,30,11,0,2386,97.95,11.0,36.67
BP18PAAD,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6777709,20931,3972,169730,2011,194533,2010,100,10,30,10,0,1911,97.96,10.0,33.33
BP18PAAD,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7225140,21250,4636,206619,2392,232390,2393,100,9,30,9,0,2277,98.01,9.0,30.0
BP18PAAD,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,7760771,19267,4511,185969,2169,209633,2169,100,9,30,9,0,2055,97.85,9.0,30.0
BP18PAAD,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7262838,12660,3045,113670,1341,129299,1341,100,6,30,6,0,1265,97.65,6.0,20.0
BP18PAAD,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,5674252,10893,2133,88004,1068,100943,1067,100,7,30,7,0,980,97.89,7.0,23.33
BP18PAAH,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,387886,1242,361,13038,184,14589,183,100,3,30,3,0,132,97.53,3.0,10.0
BP18PAAH,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3842958,11861,3389,128698,1498,143850,1494,100,8,30,8,0,1400,97.65,8.0,26.67
BP18PAAH,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7787935,23254,5084,216284,2517,244496,2519,100,10,30,10,0,2391,97.92,10.0,33.33
BP18PAAH,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6693791,20476,4041,169006,1994,193422,1994,100,9,30,9,0,1893,97.91,9.0,30.0
BP18PAAH,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7316332,21373,4728,208410,2424,234379,2424,100,10,30,10,0,2290,97.98,10.0,33.33
