Applid,Date,ResTime,ColTime,PutqMainReqs,GetqMainReqs,TSMAINLIMIT,TSMAINLIMITTms,PeakUsedTSMAIN,TSMAINLIMITRatio%,AutoDelTSQs,PutqAuxReqs,GetqAuxReqs,QueueCreTms,CISize,WriteMTCI,LongestRec,AuxStgExh,TSCompress,BufferWait,StringWait,IOErrorTSQDS,GetqShareReqs,PutqShareReqs
BP17PAAC,01/11/2016,14:00:00,16:00:00,98,219034,5242880,0,468,0.0089,1,119325,114642,114861,8192,79,8870,0,450,3,0,0,33541,55064
BP17PAAC,01/11/2016,16:00:00,18:00:00,0,194870,5242880,0,468,0.0089,3,107817,102695,102867,8192,251,9411,0,474,6,0,0,42675,65847
BP17PAAC,01/11/2016,18:00:00,20:00:00,0,116885,5242880,0,468,0.0089,1,66834,63065,63057,8192,217,8870,0,218,1,0,0,32800,51961
BP17PAAC,01/11/2016,20:00:00,22:00:00,0,93235,5242880,0,468,0.0089,3,51914,49610,49602,8192,9,8870,0,88,0,0,0,16134,36913
BP17PAAG,01/11/2016,06:00:00,08:00:00,0,13537,5242880,0,468,0.0089,0,7496,7496,7496,8192,189,8870,0,0,0,0,0,382,423
BP17PAAG,01/11/2016,08:00:00,10:00:00,0,132497,5242880,0,468,0.0089,1,74572,70759,70826,8192,41,8870,0,224,6,0,0,21928,28615
BP17PAAG,01/11/2016,10:00:00,12:00:00,0,228541,5242880,0,468,0.0089,2,126009,119145,119379,8192,86,9411,0,578,7,0,0,32531,46111
BP17PAAG,01/11/2016,12:00:00,14:00:00,58,180847,5242880,0,468,0.0089,2,100109,95010,95190,8192,23,8870,0,412,3,0,0,21893,30339
BP17PAAG,01/11/2016,14:00:00,16:00:00,98,218816,5242880,0,468,0.0089,2,120259,114507,114720,8192,91,8870,0,527,4,0,0,33384,52655
BP17PAAG,01/11/2016,16:00:00,18:00:00,0,196047,5242880,0,468,0.0089,2,108114,103391,103559,8192,217,8870,0,540,9,0,0,43961,65643
BP17PAAG,01/11/2016,18:00:00,20:00:00,0,118697,5242880,0,468,0.0089,3,68658,64017,64002,8192,222,8870,0,187,2,0,0,34075,55895
BP17PAAG,01/11/2016,20:00:00,22:00:00,0,92946,5242880,0,468,0.0089,4,53242,49478,49466,8192,12,8870,0,118,0,0,0,15955,34087
BP17PAA3,01/11/2016,06:00:00,08:00:00,0,13255,5242880,0,468,0.0089,0,7597,7304,7305,8192,201,8870,0,3,0,0,0,538,545
BP17PAA3,01/11/2016,08:00:00,10:00:00,0,132845,5242880,0,468,0.0089,2,74265,70801,70877,8192,40,8870,0,277,4,0,0,22577,32393
BP17PAA3,01/11/2016,10:00:00,12:00:00,0,228819,5242880,0,468,0.0089,5,121724,119162,119444,8192,109,8870,0,537,4,0,0,33137,50260
BP17PAA3,01/11/2016,12:00:00,14:00:00,58,179483,5242880,0,468,0.0089,0,99684,94337,94602,8192,25,9411,0,229,3,0,0,21834,29406
BP17PAA3,01/11/2016,14:00:00,16:00:00,98,218845,5242880,0,468,0.0089,1,120019,114469,114772,8192,81,9411,0,514,3,0,0,33715,49385
BP17PAA3,01/11/2016,16:00:00,18:00:00,0,194910,5242880,0,468,0.0089,2,106658,103014,103173,8192,231,8870,0,469,4,0,0,41270,63249
BP17PAA3,01/11/2016,18:00:00,20:00:00,0,117590,5242880,0,468,0.0089,1,66850,63376,63366,8192,208,8870,0,227,0,0,0,33397,55989
BP17PAA3,01/11/2016,20:00:00,22:00:00,0,92758,5242880,0,468,0.0089,3,51611,49307,49299,8192,12,8545,0,137,0,0,0,14522,26313
BP17PAA7,01/11/2016,06:00:00,08:00:00,0,12914,5242880,0,470,0.0090,0,8024,7147,7146,8192,169,8870,0,2,0,0,0,476,519
BP17PAA7,01/11/2016,08:00:00,10:00:00,0,133607,5242880,0,470,0.0090,1,74296,71033,71105,8192,49,8870,0,199,3,0,0,22432,33998
BP17PAA7,01/11/2016,10:00:00,12:00:00,0,229568,5242880,0,470,0.0090,1,126397,119441,119715,8192,86,8870,0,550,6,0,0,33027,47309
BP17PAA7,01/11/2016,12:00:00,14:00:00,58,180263,5242880,0,470,0.0090,2,98617,94653,94902,8192,22,8870,0,219,2,0,0,22006,29850
BP17PAA7,01/11/2016,14:00:00,16:00:00,98,218091,5242880,0,470,0.0090,3,119074,114097,114318,8192,91,8870,0,356,1,0,0,33068,47671
BP17PAA7,01/11/2016,16:00:00,18:00:00,0,194721,5242880,0,470,0.0090,0,108078,102860,103038,8192,240,8870,0,498,3,0,0,42888,69730
BP17PAA7,01/11/2016,18:00:00,20:00:00,0,117860,5242880,0,470,0.0090,4,65759,63451,63447,8192,237,8870,0,158,2,0,0,31086,49730
BP17PAA7,01/11/2016,20:00:00,22:00:00,0,92683,5242880,0,470,0.0090,4,50954,49232,49228,8192,17,8870,0,105,0,0,0,15875,34026
BP18PAAD,01/11/2016,06:00:00,08:00:00,0,13422,5242880,0,468,0.0089,0,8020,7435,7435,8192,193,8870,0,5,0,0,0,418,435
BP18PAAD,01/11/2016,08:00:00,10:00:00,0,133234,5242880,0,468,0.0089,1,73943,71042,71109,8192,39,8870,0,297,3,0,0,22229,31299
BP18PAAD,01/11/2016,10:00:00,12:00:00,0,228624,5242880,0,468,0.0089,1,123352,119095,119314,8192,89,9411,0,734,11,0,0,31903,50375
BP18PAAD,01/11/2016,12:00:00,14:00:00,59,181082,5242880,0,468,0.0089,2,99972,95112,95348,8192,27,8870,0,420,1,0,0,23240,32751
BP18PAAD,01/11/2016,14:00:00,16:00:00,98,218149,5242880,0,468,0.0089,1,119321,114239,114436,8192,92,9411,0,295,8,0,0,33476,54937
BP18PAAD,01/11/2016,16:00:00,18:00:00,0,195701,5242880,0,468,0.0089,1,107274,103187,103397,8192,224,8870,0,478,3,0,0,41568,58356
BP18PAAD,01/11/2016,18:00:00,20:00:00,0,118168,5242880,0,468,0.0089,2,68650,63717,63701,8192,249,8870,0,189,1,0,0,33126,60286
BP18PAAD,01/11/2016,20:00:00,22:00:00,0,92522,5242880,0,468,0.0089,2,51325,49281,49274,8192,14,9411,0,163,1,0,0,15615,32199
BP18PAAH,01/11/2016,06:00:00,08:00:00,0,13027,5242880,0,470,0.0090,0,7464,7171,7172,8192,183,8870,0,0,0,0,0,641,652
BP18PAAH,01/11/2016,08:00:00,10:00:00,0,133033,5242880,0,470,0.0090,0,74245,71040,71086,8192,43,8870,0,265,4,0,0,24305,34274
BP18PAAH,01/11/2016,10:00:00,12:00:00,0,229362,5242880,0,470,0.0090,2,127388,119575,119785,8192,95,8870,0,384,4,0,0,32802,46982
BP18PAAH,01/11/2016,12:00:00,14:00:00,58,180110,5242880,0,470,0.0090,2,100495,94586,94794,8192,18,8870,0,471,1,0,0,22686,29898
BP18PAAH,01/11/2016,14:00:00,16:00:00,98,219994,5242880,0,470,0.0090,4,120263,115243,115475,8192,83,8870,0,564,2,0,0,33189,51546
BP18PAAH,01/11/2016,16:00:00,18:00:00,0,194475,5242880,0,470,0.0090,3,108376,102532,102676,8192,224,8870,0,497,6,0,0,43299,63632
BP18PAAH,01/11/2016,18:00:00,20:00:00,0,117372,5242880,0,470,0.0090,2,67921,63240,63233,8192,217,8870,0,151,0,0,0,31690,56758
BP18PAAH,01/11/2016,20:00:00,22:00:00,0,92462,5242880,0,470,0.0090,2,52111,49191,49181,8192,7,8870,0,169,0,0,0,15121,33656
BP18PAA4,01/11/2016,06:00:00,08:00:00,0,13238,5242880,0,468,0.0089,0,7880,7295,7295,8192,210,8870,0,1,0,0,0,416,505
BP18PAA4,01/11/2016,08:00:00,10:00:00,0,133032,5242880,0,468,0.0089,1,73247,70933,70999,8192,46,8870,0,287,1,0,0,23409,34969
BP18PAA4,01/11/2016,10:00:00,12:00:00,0,228823,5242880,0,468,0.0089,2,125778,119092,119338,8192,95,8870,0,477,9,0,0,31075,44641
BP18PAA4,01/11/2016,12:00:00,14:00:00,58,179583,5242880,0,468,0.0089,3,98672,94297,94499,8192,25,8870,0,439,5,0,0,22584,30895
BP18PAA4,01/11/2016,14:00:00,16:00:00,98,217931,5242880,0,468,0.0089,3,117178,114120,114344,8192,96,9411,0,476,9,0,0,32281,50788
BP18PAA4,01/11/2016,16:00:00,18:00:00,0,195505,5242880,0,468,0.0089,1,106918,103302,103467,8192,220,9411,0,439,3,0,0,43367,71051
BP18PAA4,01/11/2016,18:00:00,20:00:00,0,117615,5242880,0,468,0.0089,2,66624,63184,63172,8192,217,8870,0,214,0,0,0,33678,56436
BP18PAA4,01/11/2016,20:00:00,22:00:00,0,93196,5242880,0,468,0.0089,3,51536,49556,49549,8192,13,8545,0,150,0,0,0,14862,31198
BP18PAA8,01/11/2016,06:00:00,08:00:00,0,12933,5242880,0,470,0.0090,0,7462,7169,7170,8192,203,8870,0,1,0,0,0,558,678
BP18PAA8,01/11/2016,08:00:00,10:00:00,0,132731,5242880,0,470,0.0090,1,74259,70921,71000,8192,43,9411,0,203,3,0,0,23175,31464
BP18PAA8,01/11/2016,10:00:00,12:00:00,0,228752,5242880,0,470,0.0090,1,126171,119130,119363,8192,88,8870,0,492,7,0,0,33389,52868
BP18PAA8,01/11/2016,12:00:00,14:00:00,58,179917,5242880,0,470,0.0090,2,98893,94441,94656,8192,28,8870,0,430,3,0,0,21282,29957
BP18PAA8,01/11/2016,14:00:00,16:00:00,98,218484,5242880,0,470,0.0090,2,118913,114414,114711,8192,78,9411,0,473,4,0,0,33208,49212
BP18PAA8,01/11/2016,16:00:00,18:00:00,0,195138,5242880,0,470,0.0090,1,108348,103033,103202,8192,207,8870,0,588,5,0,0,42198,66619
BP18PAA8,01/11/2016,18:00:00,20:00:00,0,117690,5242880,0,470,0.0090,2,68690,63457,63449,8192,221,8870,0,146,1,0,0,32812,54904
BP18PAA8,01/11/2016,20:00:00,22:00:00,0,93339,5242880,0,470,0.0090,2,51887,49551,49543,8192,18,8870,0,147,0,0,0,15351,34262
