Applid,Date,ResTime,ColTime,ENQPoolName,ENQIssd,ENQWtd,ENQWTT,ENQSysWtd,ENQSysWtT,ENQRtnd,ENQRtnT,ImmRejEqBsy,ImmRejEqRtn,WtRejRtn,WtRejOp,WtRejTo,ENQBusyRatio%,ENQWttRatio%,ENQRetRatio%,ENQImmRetRatio%,ENQImmSuccessRatio%
BP15PAA5,01/11/2016,08:00:00,10:00:00,*TOTALS*,17970,91,00:00:00.478,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.51,0.0,0.0,99.49
BP15PAA5,01/11/2016,10:00:00,12:00:00,*TOTALS*,29309,313,00:00:01.808,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,1.07,0.0,0.0,98.93
BP15PAA5,01/11/2016,12:00:00,14:00:00,*TOTALS*,23936,216,00:00:01.145,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.9,0.0,0.0,99.1
BP15PAA5,01/11/2016,14:00:00,16:00:00,*TOTALS*,27329,241,00:00:01.320,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.88,0.0,0.0,99.12
BP15PAA5,01/11/2016,16:00:00,18:00:00,*TOTALS*,27138,181,00:00:01.198,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.67,0.0,0.0,99.33
BP15PAA5,01/11/2016,18:00:00,20:00:00,*TOTALS*,18979,115,00:00:00.898,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.61,0.0,0.0,99.39
BP15PAA5,01/11/2016,20:00:00,22:00:00,*TOTALS*,15567,60,00:00:00.315,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.39,0.0,0.0,99.61
BP16PAAB,01/11/2016,06:00:00,08:00:00,*TOTALS*,2722,1,00:00:00.005,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.04,0.0,0.0,99.96
BP16PAAB,01/11/2016,08:00:00,10:00:00,*TOTALS*,17022,88,00:00:00.484,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.52,0.0,0.0,99.48
BP16PAAB,01/11/2016,10:00:00,12:00:00,*TOTALS*,28965,280,00:00:01.563,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.97,0.0,0.0,99.03
BP16PAAB,01/11/2016,12:00:00,14:00:00,*TOTALS*,24448,212,00:00:01.229,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.87,0.0,0.0,99.13
BP16PAAB,01/11/2016,14:00:00,16:00:00,*TOTALS*,27272,221,00:00:01.296,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.81,0.0,0.0,99.19
BP16PAAB,01/11/2016,16:00:00,18:00:00,*TOTALS*,28336,180,00:00:01.034,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.64,0.0,0.0,99.36
BP16PAAB,01/11/2016,18:00:00,20:00:00,*TOTALS*,18989,103,00:00:00.614,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.54,0.0,0.0,99.46
BP16PAAB,01/11/2016,20:00:00,22:00:00,*TOTALS*,15521,82,00:00:00.414,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.53,0.0,0.0,99.47
BP16PAAF,01/11/2016,06:00:00,08:00:00,*TOTALS*,2996,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
BP16PAAF,01/11/2016,08:00:00,10:00:00,*TOTALS*,16754,99,00:00:00.494,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.59,0.0,0.0,99.41
BP16PAAF,01/11/2016,10:00:00,12:00:00,*TOTALS*,29488,307,00:00:01.676,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,1.04,0.0,0.0,98.96
BP16PAAF,01/11/2016,12:00:00,14:00:00,*TOTALS*,24321,232,00:00:01.286,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.95,0.0,0.0,99.05
BP16PAAF,01/11/2016,14:00:00,16:00:00,*TOTALS*,27421,245,00:00:01.374,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.89,0.0,0.0,99.11
BP16PAAF,01/11/2016,16:00:00,18:00:00,*TOTALS*,27916,236,00:00:01.375,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.85,0.0,0.0,99.15
BP16PAAF,01/11/2016,18:00:00,20:00:00,*TOTALS*,18610,104,00:00:00.539,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.56,0.0,0.0,99.44
BP16PAAF,01/11/2016,20:00:00,22:00:00,*TOTALS*,15761,63,00:00:00.310,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.4,0.0,0.0,99.6
BP16PAA2,01/11/2016,06:00:00,08:00:00,*TOTALS*,2726,1,00:00:00.006,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.04,0.0,0.0,99.96
BP16PAA2,01/11/2016,08:00:00,10:00:00,*TOTALS*,18272,84,00:00:00.422,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.46,0.0,0.0,99.54
BP16PAA2,01/11/2016,10:00:00,12:00:00,*TOTALS*,29257,286,00:00:01.579,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.98,0.0,0.0,99.02
BP16PAA2,01/11/2016,12:00:00,14:00:00,*TOTALS*,24548,220,00:00:01.259,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.9,0.0,0.0,99.1
BP16PAA2,01/11/2016,14:00:00,16:00:00,*TOTALS*,27193,247,00:00:01.357,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.91,0.0,0.0,99.09
BP16PAA2,01/11/2016,16:00:00,18:00:00,*TOTALS*,27672,227,00:00:01.237,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.82,0.0,0.0,99.18
BP16PAA2,01/11/2016,18:00:00,20:00:00,*TOTALS*,18561,111,00:00:00.598,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.6,0.0,0.0,99.4
BP16PAA2,01/11/2016,20:00:00,22:00:00,*TOTALS*,15771,77,00:00:00.469,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.49,0.0,0.0,99.51
BP16PAA6,01/11/2016,06:00:00,08:00:00,*TOTALS*,2796,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
BP16PAA6,01/11/2016,08:00:00,10:00:00,*TOTALS*,17748,97,00:00:00.504,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.55,0.0,0.0,99.45
BP16PAA6,01/11/2016,10:00:00,12:00:00,*TOTALS*,28708,277,00:00:01.632,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.96,0.0,0.0,99.04
BP16PAA6,01/11/2016,12:00:00,14:00:00,*TOTALS*,24448,206,00:00:01.199,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.84,0.0,0.0,99.16
BP16PAA6,01/11/2016,14:00:00,16:00:00,*TOTALS*,27755,234,00:00:01.747,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.84,0.0,0.0,99.16
BP16PAA6,01/11/2016,16:00:00,18:00:00,*TOTALS*,27725,203,00:00:01.151,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.73,0.0,0.0,99.27
BP16PAA6,01/11/2016,18:00:00,20:00:00,*TOTALS*,18606,93,00:00:00.473,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.5,0.0,0.0,99.5
BP16PAA6,01/11/2016,20:00:00,22:00:00,*TOTALS*,15315,61,00:00:00.797,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.4,0.0,0.0,99.6
