Applid,Date,ResTime,ColTime,STGPROT,TRANISO,REENTPG,DSALIM,PeakDSA,EDSALIM,PeakEDSA,MEMLIMIT,CDSASize,UDSASize,SDSASize,RDSASize,ECDSASize,EUDSASize,ESDSASize,ERDSASize,ETDSASize,DSARatio%,EDSARatio%,CDSAHWM,UDSAHWM,SDSAHWM,RDSAHWM,DSASOSTms,DSASTGVIOLTms,ECDSAHWM,EUDSAHWM,ESDSAHWM,ERDSAHWM,ETDSAHWM,EDSASOSTms,EDSASTGVIOLTms,CDSAFragRatio%, UDSAFragRatio%, SDSAFragRatio%, RDSAFragRatio%, ECDSAFragRatio%, EUDSAFragRatio%, ESDSAFragRatio%, ERDSAFragRatio%, DSAHWMRatio%, EDSAHWMRatio%,GDSASOSTms, GDSASTGVIOLTms
BP15PAA1,01/11/2016,12:00:00,14:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,550502400,NOLIMIT,524288,262144,262144,262144,308281344,126877696,1048576,113246208,1048576,25.00,47.73,286720,65536,12288,237568,0,0,245329920,53018624,655360,112222208,0,0,0,0.98,1.00,1.00,0.67,0.21,0.05,1.00,0.04,11.48,35.65,0,0
BP15PAA1,01/11/2016,14:00:00,16:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,553648128,NOLIMIT,524288,262144,262144,262144,308281344,126877696,1048576,116391936,1048576,25.00,48.00,282624,57344,12288,237568,0,0,245301248,48496640,655360,114597888,0,0,0,0.98,1.00,1.00,0.67,0.21,0.05,1.00,0.42,11.25,35.46,0,0
BP15PAA1,01/11/2016,16:00:00,18:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,554696704,NOLIMIT,524288,262144,262144,262144,308281344,126877696,1048576,117440512,1048576,25.00,48.09,290816,57344,12288,237568,0,0,254218240,48693248,655360,116289536,0,0,0,0.98,0.97,1.00,0.67,0.35,0.05,1.00,0.09,11.41,36.40,0,0
BP15PAA1,01/11/2016,18:00:00,20:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,555745280,NOLIMIT,524288,262144,262144,262144,308281344,126877696,1048576,118489088,1048576,25.00,48.18,282624,53248,12288,237568,0,0,246243328,46923776,655360,116989952,0,0,0,0.97,1.00,1.00,0.67,0.35,0.05,1.00,0.29,11.17,35.62,0,0
BP15PAA1,01/11/2016,20:00:00,22:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,555745280,NOLIMIT,524288,262144,262144,262144,308281344,126877696,1048576,118489088,1048576,25.00,48.18,282624,57344,12288,237568,0,0,264163328,45809664,651264,117174272,0,0,0,0.98,1.00,1.00,0.67,0.35,0.06,1.00,0.19,11.25,37.09,0,0
BP15PAA5,01/11/2016,06:00:00,08:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,543162368,NOLIMIT,262144,262144,262144,262144,308281344,130023424,1048576,102760448,1048576,20.00,47.09,229376,32768,8192,237568,0,0,244850688,20316160,651264,101027840,0,0,0,0.58,0.98,1.00,0.67,0.36,0.05,1.00,0.17,9.69,31.80,0,0
BP15PAA5,01/11/2016,08:00:00,10:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,555745280,NOLIMIT,262144,262144,262144,262144,308281344,138412032,1048576,106954752,1048576,20.00,48.18,241664,53248,8192,237568,0,0,254881792,45613056,655360,105013248,0,0,0,0.54,1.00,1.00,0.67,0.21,0.06,1.00,0.36,10.31,35.21,0,0
BP15PAA5,01/11/2016,10:00:00,12:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,558891008,NOLIMIT,262144,262144,262144,262144,308281344,138412032,1048576,110100480,1048576,20.00,48.45,258048,110592,8192,237568,0,0,245592064,88604672,655360,107864064,0,0,0,0.58,1.00,1.00,0.67,0.21,0.06,1.00,0.42,11.72,38.38,0,0
BP15PAA5,01/11/2016,12:00:00,14:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,559939584,NOLIMIT,262144,262144,262144,262144,308281344,138412032,1048576,111149056,1048576,20.00,48.55,237568,65536,8192,237568,0,0,245309440,58195968,655360,109232128,0,0,0,0.54,1.00,1.00,0.67,0.21,0.06,1.00,0.33,10.47,35.84,0,0
BP15PAA5,01/11/2016,14:00:00,16:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,562036736,NOLIMIT,262144,262144,262144,262144,308281344,138412032,1048576,113246208,1048576,20.00,48.73,245760,65536,8192,237568,0,0,245477376,54198272,655360,111902720,0,0,0,0.54,1.00,1.00,0.67,0.21,0.06,1.00,0.03,10.62,35.74,0,0
BP15PAA5,01/11/2016,16:00:00,18:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,564133888,NOLIMIT,262144,262144,262144,262144,308281344,138412032,1048576,115343360,1048576,20.00,48.91,249856,57344,8192,237568,0,0,254300160,51838976,655360,113844224,0,0,0,0.58,1.00,1.00,0.67,0.35,0.07,1.00,0.12,10.55,36.47,0,0
BP15PAA5,01/11/2016,18:00:00,20:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,565182464,NOLIMIT,262144,262144,262144,262144,308281344,138412032,1048576,116391936,1048576,20.00,49.00,245760,53248,8192,237568,0,0,246239232,47579136,655360,114614272,0,0,0,0.58,0.94,1.00,0.67,0.35,0.06,1.00,0.24,10.39,35.47,0,0
BP15PAA5,01/11/2016,20:00:00,22:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,565182464,NOLIMIT,262144,262144,262144,262144,308281344,138412032,1048576,116391936,1048576,20.00,49.00,241664,45056,8192,237568,0,0,264232960,44630016,655360,114614272,0,0,0,0.58,1.00,1.00,0.67,0.35,0.07,1.00,0.24,10.16,36.77,0,0
