Applid,Date,ResTime,ColTime,DFHLOG,DASDOnly,AKPFREQ,AKPTaken,LGDFINT,WriteReq,ByteWritten,BufAppend,WaitFullBuf,PkForceWts,RetryError,ShuntWriteRequest
BP17PAAC,01/11/2016,20:00:00,22:00:00,CICS.BP17PAAC.DFHLOG,Yes,4000,20,5,28762,26131680,80676,0,1,0,0
BP17PAAG,01/11/2016,06:00:00,08:00:00,CICS.BP17PAAG.DFHLOG,Yes,4000,3,5,4486,3720086,11504,0,1,0,0
BP17PAAG,01/11/2016,08:00:00,10:00:00,CICS.BP17PAAG.DFHLOG,Yes,4000,24,5,36424,31711951,95925,0,1,0,0
BP17PAAG,01/11/2016,10:00:00,12:00:00,CICS.BP17PAAG.DFHLOG,Yes,4000,42,5,61484,56135831,169498,0,2,0,0
BP17PAAG,01/11/2016,12:00:00,14:00:00,CICS.BP17PAAG.DFHLOG,Yes,4000,37,5,52713,48908147,147535,0,2,0,0
BP17PAAG,01/11/2016,14:00:00,16:00:00,CICS.BP17PAAG.DFHLOG,Yes,4000,39,5,56764,52085275,156612,0,2,0,0
BP17PAAG,01/11/2016,16:00:00,18:00:00,CICS.BP17PAAG.DFHLOG,Yes,4000,36,5,52962,47354899,143122,0,2,0,0
BP17PAAG,01/11/2016,18:00:00,20:00:00,CICS.BP17PAAG.DFHLOG,Yes,4000,24,5,36299,31533029,98258,0,2,0,0
BP17PAAG,01/11/2016,20:00:00,22:00:00,CICS.BP17PAAG.DFHLOG,Yes,4000,20,5,27634,25050722,77506,0,1,0,0
BP17PAA3,01/11/2016,06:00:00,08:00:00,CICS.BP17PAA3.DFHLOG,Yes,4000,2,5,4200,3413377,10619,0,1,0,0
BP17PAA3,01/11/2016,08:00:00,10:00:00,CICS.BP17PAA3.DFHLOG,Yes,4000,25,5,37656,32300517,98576,0,2,0,0
BP17PAA3,01/11/2016,10:00:00,12:00:00,CICS.BP17PAA3.DFHLOG,Yes,4000,43,5,62278,56863480,171348,0,2,0,0
BP17PAA3,01/11/2016,12:00:00,14:00:00,CICS.BP17PAA3.DFHLOG,Yes,4000,36,5,52913,48849437,147517,0,2,0,0
BP17PAA3,01/11/2016,14:00:00,16:00:00,CICS.BP17PAA3.DFHLOG,Yes,4000,40,5,57439,52223116,157081,0,2,0,0
BP17PAA3,01/11/2016,16:00:00,18:00:00,CICS.BP17PAA3.DFHLOG,Yes,4000,35,5,52343,47570386,142148,0,2,0,0
BP17PAA3,01/11/2016,18:00:00,20:00:00,CICS.BP17PAA3.DFHLOG,Yes,4000,24,5,35731,30828802,96273,0,2,0,0
BP17PAA3,01/11/2016,20:00:00,22:00:00,CICS.BP17PAA3.DFHLOG,Yes,4000,20,5,28335,25685133,79653,0,1,0,0
BP17PAA7,01/11/2016,06:00:00,08:00:00,CICS.BP17PAA7.DFHLOG,Yes,4000,2,5,4156,3368974,10456,0,1,0,0
BP17PAA7,01/11/2016,08:00:00,10:00:00,CICS.BP17PAA7.DFHLOG,Yes,4000,25,5,37013,31707297,97343,0,1,0,0
BP17PAA7,01/11/2016,10:00:00,12:00:00,CICS.BP17PAA7.DFHLOG,Yes,4000,43,5,62326,56942095,172021,0,2,0,0
BP17PAA7,01/11/2016,12:00:00,14:00:00,CICS.BP17PAA7.DFHLOG,Yes,4000,36,5,52938,48274730,146758,0,1,0,0
BP17PAA7,01/11/2016,14:00:00,16:00:00,CICS.BP17PAA7.DFHLOG,Yes,4000,40,5,57222,52291329,157371,0,2,0,0
BP17PAA7,01/11/2016,16:00:00,18:00:00,CICS.BP17PAA7.DFHLOG,Yes,4000,35,5,53219,47214096,142818,0,1,0,0
BP17PAA7,01/11/2016,18:00:00,20:00:00,CICS.BP17PAA7.DFHLOG,Yes,4000,25,5,36602,31479327,98606,0,2,0,0
BP17PAA7,01/11/2016,20:00:00,22:00:00,CICS.BP17PAA7.DFHLOG,Yes,4000,20,5,28483,25231298,79057,0,2,0,0
BP18PAAD,01/11/2016,06:00:00,08:00:00,CICS.BP18PAAD.DFHLOG,Yes,4000,3,5,4423,3566363,11148,0,1,0,0
BP18PAAD,01/11/2016,08:00:00,10:00:00,CICS.BP18PAAD.DFHLOG,Yes,4000,24,5,37042,31698781,96932,0,2,0,0
BP18PAAD,01/11/2016,10:00:00,12:00:00,CICS.BP18PAAD.DFHLOG,Yes,4000,43,5,61595,55920101,169744,0,2,0,0
BP18PAAD,01/11/2016,12:00:00,14:00:00,CICS.BP18PAAD.DFHLOG,Yes,4000,37,5,53269,49829708,149638,0,2,0,0
BP18PAAD,01/11/2016,14:00:00,16:00:00,CICS.BP18PAAD.DFHLOG,Yes,4000,39,5,56918,52237367,156522,0,2,0,0
BP18PAAD,01/11/2016,16:00:00,18:00:00,CICS.BP18PAAD.DFHLOG,Yes,4000,36,5,53482,47994550,144899,0,2,0,0
BP18PAAD,01/11/2016,18:00:00,20:00:00,CICS.BP18PAAD.DFHLOG,Yes,4000,24,5,35910,31010097,96587,0,1,0,0
BP18PAAD,01/11/2016,20:00:00,22:00:00,CICS.BP18PAAD.DFHLOG,Yes,4000,20,5,28359,25427801,79102,0,1,0,0
BP18PAAH,01/11/2016,06:00:00,08:00:00,CICS.BP18PAAH.DFHLOG,Yes,4000,3,5,4322,3508068,10921,0,1,0,0
BP18PAAH,01/11/2016,08:00:00,10:00:00,CICS.BP18PAAH.DFHLOG,Yes,4000,24,5,36087,30929675,94203,0,2,0,0
BP18PAAH,01/11/2016,10:00:00,12:00:00,CICS.BP18PAAH.DFHLOG,Yes,4000,42,5,62101,56879407,171028,0,2,0,0
BP18PAAH,01/11/2016,12:00:00,14:00:00,CICS.BP18PAAH.DFHLOG,Yes,4000,37,5,53048,48625819,147910,0,1,0,0
BP18PAAH,01/11/2016,14:00:00,16:00:00,CICS.BP18PAAH.DFHLOG,Yes,4000,40,5,57515,52937474,157826,0,2,0,0
BP18PAAH,01/11/2016,16:00:00,18:00:00,CICS.BP18PAAH.DFHLOG,Yes,4000,35,5,52263,46822469,140882,0,2,0,0
BP18PAAH,01/11/2016,18:00:00,20:00:00,CICS.BP18PAAH.DFHLOG,Yes,4000,24,5,36195,31217021,97675,0,1,0,0
BP18PAAH,01/11/2016,20:00:00,22:00:00,CICS.BP18PAAH.DFHLOG,Yes,4000,20,5,28658,25370834,79450,0,1,0,0
BP18PAA4,01/11/2016,06:00:00,08:00:00,CICS.BP18PAA4.DFHLOG,Yes,4000,3,5,4177,3535230,10813,0,1,0,0
BP18PAA4,01/11/2016,08:00:00,10:00:00,CICS.BP18PAA4.DFHLOG,Yes,4000,24,5,36405,31574166,95874,0,1,0,0
BP18PAA4,01/11/2016,10:00:00,12:00:00,CICS.BP18PAA4.DFHLOG,Yes,4000,42,5,62274,56666559,171362,0,2,0,0
BP18PAA4,01/11/2016,12:00:00,14:00:00,CICS.BP18PAA4.DFHLOG,Yes,4000,38,5,53519,49570318,149526,0,1,0,0
BP18PAA4,01/11/2016,14:00:00,16:00:00,CICS.BP18PAA4.DFHLOG,Yes,4000,39,5,56850,52382275,156602,0,2,0,0
BP18PAA4,01/11/2016,16:00:00,18:00:00,CICS.BP18PAA4.DFHLOG,Yes,4000,36,5,53357,47465096,143579,0,2,0,0
BP18PAA4,01/11/2016,18:00:00,20:00:00,CICS.BP18PAA4.DFHLOG,Yes,4000,24,5,35568,30942673,96558,0,2,0,0
BP18PAA4,01/11/2016,20:00:00,22:00:00,CICS.BP18PAA4.DFHLOG,Yes,4000,20,5,28692,26006688,80201,0,1,0,0
BP18PAA8,01/11/2016,06:00:00,08:00:00,CICS.BP18PAA8.DFHLOG,Yes,4000,2,5,4115,3416493,10461,0,1,0,0
BP18PAA8,01/11/2016,08:00:00,10:00:00,CICS.BP18PAA8.DFHLOG,Yes,4000,24,5,36114,31546531,95548,0,1,0,0
BP18PAA8,01/11/2016,10:00:00,12:00:00,CICS.BP18PAA8.DFHLOG,Yes,4000,43,5,61993,56965189,171515,0,2,0,0
BP18PAA8,01/11/2016,12:00:00,14:00:00,CICS.BP18PAA8.DFHLOG,Yes,4000,37,5,52760,48974977,148161,0,1,0,0
BP18PAA8,01/11/2016,14:00:00,16:00:00,CICS.BP18PAA8.DFHLOG,Yes,4000,39,5,57005,52479767,157010,0,1,0,0
BP18PAA8,01/11/2016,16:00:00,18:00:00,CICS.BP18PAA8.DFHLOG,Yes,4000,36,5,53566,47955214,144557,0,2,0,0
BP18PAA8,01/11/2016,18:00:00,20:00:00,CICS.BP18PAA8.DFHLOG,Yes,4000,24,5,35454,30492203,95508,0,1,0,0
BP18PAA8,01/11/2016,20:00:00,22:00:00,CICS.BP18PAA8.DFHLOG,Yes,4000,20,5,28829,25628695,79969,0,1,0,0
